timestamp,par,preco
2025-04-10 00:55:18,XRP/USDT,1.9942
2025-04-10 00:55:18,DOGE/USDT,0.15493
2025-04-10 00:55:18,TRX/USDT,0.23829
2025-04-10 00:55:24,XRP/USDT,1.995
2025-04-10 00:55:24,DOGE/USDT,0.15497
2025-04-10 00:55:25,TRX/USDT,0.23828
2025-04-10 00:55:30,XRP/USDT,1.9951
2025-04-10 00:55:30,DOGE/USDT,0.15501
2025-04-10 00:55:30,TRX/USDT,0.23829
2025-04-10 00:55:36,XRP/USDT,1.9962
2025-04-10 00:55:36,DOGE/USDT,0.15511
2025-04-10 00:55:36,TRX/USDT,0.23836
2025-04-10 00:55:42,XRP/USDT,1.9971
2025-04-10 00:55:42,DOGE/USDT,0.15506
2025-04-10 00:55:42,TRX/USDT,0.23846
2025-04-10 00:55:48,XRP/USDT,1.997
2025-04-10 00:55:48,DOGE/USDT,0.15512
2025-04-10 00:55:48,TRX/USDT,0.23845
2025-04-10 00:55:54,XRP/USDT,1.9961
2025-04-10 00:55:54,DOGE/USDT,0.15504
2025-04-10 00:55:54,TRX/USDT,0.23845
2025-04-10 00:56:00,XRP/USDT,1.9967
2025-04-10 00:56:00,DOGE/USDT,0.15503
2025-04-10 00:56:00,TRX/USDT,0.23845
2025-04-10 00:56:06,XRP/USDT,1.9978
2025-04-10 00:56:06,DOGE/USDT,0.15512
2025-04-10 00:56:06,TRX/USDT,0.23846
2025-04-10 02:17:26,XRP/USDT,2.0036
2025-04-10 02:17:26,DOGE/USDT,0.15666
2025-04-10 02:17:35,XRP/USDT,2.0034
2025-04-10 02:17:35,DOGE/USDT,0.15666
2025-04-10 02:19:24,XRP/USDT,2.0019
2025-04-10 02:19:24,DOGE/USDT,0.15649
2025-04-10 02:19:31,XRP/USDT,2.002
2025-04-10 02:19:31,DOGE/USDT,0.1565
2025-04-10 02:28:47,XRP/USDT,2.0091
2025-04-10 02:28:47,DOGE/USDT,0.15698
2025-04-10 02:28:47,TRX/USDT,0.24139
2025-04-10 02:28:53,XRP/USDT,2.0092
2025-04-10 02:28:53,DOGE/USDT,0.15698
2025-04-10 02:28:54,TRX/USDT,0.24141
2025-04-10 02:28:59,XRP/USDT,2.0089
2025-04-10 02:28:59,DOGE/USDT,0.15698
2025-04-10 02:28:59,TRX/USDT,0.24141
2025-04-10 02:29:05,XRP/USDT,2.0088
2025-04-10 02:29:05,DOGE/USDT,0.15698
2025-04-10 02:29:05,TRX/USDT,0.2414
2025-04-10 02:29:11,XRP/USDT,2.0084
2025-04-10 02:29:11,DOGE/USDT,0.15697
2025-04-10 02:29:11,TRX/USDT,0.24141
2025-04-10 02:29:16,XRP/USDT,2.0081
2025-04-10 02:29:17,DOGE/USDT,0.15697
2025-04-10 02:29:17,TRX/USDT,0.24141
2025-04-10 02:29:22,XRP/USDT,2.008
2025-04-10 02:29:23,DOGE/USDT,0.15696
2025-04-10 02:29:23,TRX/USDT,0.24141
2025-04-10 02:29:28,XRP/USDT,2.008
2025-04-10 02:29:28,DOGE/USDT,0.15695
2025-04-10 02:29:29,TRX/USDT,0.24141
2025-04-10 02:29:34,XRP/USDT,2.008
