timestamp,par,direcao,preco_entrada,score_tecnico,score_ia
2025-04-09 05:03:28,DOGE/USDT,sell,,,
2025-04-09 05:03:29,TRX/USDT,sell,,,
2025-04-09 05:04:30,XRP/USDT,buy,,,
2025-04-09 05:04:31,DOGE/USDT,sell,,,
2025-04-09 05:04:32,TRX/USDT,sell,,,
2025-04-09 05:05:33,XRP/USDT,buy,,,
2025-04-09 05:05:34,DOGE/USDT,sell,,,
2025-04-09 05:05:35,TRX/USDT,sell,,,
2025-04-09 05:06:35,XRP/USDT,buy,,,
2025-04-09 05:06:36,DOGE/USDT,sell,,,
2025-04-09 05:06:37,TRX/USDT,sell,,,
2025-04-09 05:07:38,XRP/USDT,buy,,,
2025-04-09 05:07:39,DOGE/USDT,sell,,,
2025-04-09 05:07:40,TRX/USDT,sell,,,
2025-04-09 05:08:42,XRP/USDT,buy,,,
2025-04-09 05:08:43,DOGE/USDT,sell,,,
2025-04-09 05:08:43,TRX/USDT,sell,,,
2025-04-09 05:09:44,XRP/USDT,buy,,,
2025-04-09 05:09:45,DOGE/USDT,buy,,,
2025-04-09 05:09:46,TRX/USDT,sell,,,
2025-04-09 05:09:53,XRP/USDT,buy,,,
2025-04-09 05:15:29,XRP/USDT,buy,,,
2025-04-09 05:15:29,DOGE/USDT,buy,,,
2025-04-09 05:15:30,TRX/USDT,sell,,,
2025-04-09 05:16:10,XRP/USDT,buy,,,
2025-04-09 05:16:11,DOGE/USDT,buy,,,
2025-04-09 05:16:12,TRX/USDT,sell,,,
2025-04-09 05:17:13,XRP/USDT,buy,,,
2025-04-09 05:17:14,DOGE/USDT,buy,,,
2025-04-09 05:17:15,TRX/USDT,sell,,,
2025-04-09 05:18:16,XRP/USDT,buy,,,
2025-04-09 05:18:17,DOGE/USDT,sell,,,
2025-04-09 05:18:19,TRX/USDT,sell,,,
2025-04-09 05:19:20,XRP/USDT,buy,,,
2025-04-09 05:19:22,DOGE/USDT,sell,,,
2025-04-09 05:19:23,TRX/USDT,sell,,,
2025-04-09 05:20:24,XRP/USDT,buy,,,
2025-04-09 05:20:25,DOGE/USDT,sell,,,
2025-04-09 05:20:25,TRX/USDT,sell,,,
2025-04-09 05:21:26,XRP/USDT,buy,,,
2025-04-09 05:21:27,DOGE/USDT,sell,,,
2025-04-09 05:21:28,TRX/USDT,sell,,,
2025-04-09 05:22:29,XRP/USDT,buy,,,
2025-04-09 05:22:30,DOGE/USDT,sell,,,
2025-04-09 05:22:31,TRX/USDT,sell,,,
2025-04-09 05:23:32,XRP/USDT,buy,,,
2025-04-09 05:23:33,DOGE/USDT,sell,,,
2025-04-09 05:23:34,TRX/USDT,sell,,,
2025-04-09 05:24:35,XRP/USDT,buy,,,
2025-04-09 05:24:36,DOGE/USDT,sell,,,
2025-04-09 05:24:37,TRX/USDT,sell,,,
2025-04-09 05:25:38,XRP/USDT,sell,,,
2025-04-09 05:25:39,DOGE/USDT,sell,,,
2025-04-09 05:25:40,TRX/USDT,sell,,,
2025-04-09 05:26:41,XRP/USDT,sell,,,
2025-04-09 05:26:43,DOGE/USDT,sell,,,
2025-04-09 05:26:44,TRX/USDT,sell,,,
2025-04-09 05:27:45,XRP/USDT,sell,,,
2025-04-09 05:27:46,DOGE/USDT,sell,,,
2025-04-09 05:27:47,TRX/USDT,sell,,,
